wine_text,year,qty,location
Bollinger R D,2008,1,4·D·A
Bollinger La Grande Annee,2015,2,4·D·A
Bereche et Fils Brut Reserve,,1,4·D·A
Bollinger R D,2008,1,4·D·D
Perrier Jouet Belle Epoque,2014,2,4·D·D
Mestres Coquet,2019,2,4·D·D
Dom Perignon,2015,3,4·E·A
Gosset Grande Reserve,,2,4·E·D
Mestres Visol,,1,4·E·D
Bollinger Special Cuvee,,1,4·E·D
Andre Heucq Heritage,,1,4·E·D
Krug Grande Cuvee,,2,4·F·A
Leclerc Briant Cuvee,,2,4·F·A
Blanc de Noirs Brut Nature,,2,4·F·A
Leclerc Briant Les Basses Prieres,,2,4·F·D
Leclerc Briant Millesime,2019,2,4·F·D
Gosset Grande Reserve,,7,4·BASE
Ruinart Blanc de Blancs Magnum,,1,4·BASE
Ruinart Blanc de Blancs,,3,4·BASE
Ruinart Rose,,2,4·BASE
Gran Torello,,1,4·BASE
