wine_text,year,qty,location
La Baixada Alvaro Palacios,2022,1,1·A·D
Salanques Mas Doix,2022,1,1·A·D
Les Terrasses Velles Vinyes Alvaro Palacios,2022,1,1·A·D
Casa Castillo,2023,1,1·B·D
La Tendida Casa Castillo,2023,1,1·B·D
Pintia,2017,1,1·D·D
Pintia,2020,1,1·D·D
La Rioja Alta Gran Reserva 904,2016,1,1·D·D
Hispania Dominio del Aguila,2021,1,1·E·D
Picarana Dominio del Aguila,2022,1,1·E·D
Dominio del Aguila Reserva,2020,1,1·E·A
Dominio del Aguila Camino del Soto,2022,1,1·E·A
Mauro VS,2022,1,1·E·A
Suzanne Bodegas Bhilar,2020,1,1·F·D
La Emperatriz Finca La Emperatriz,2019,1,1·F·D
La Rioja Alta Gran Reserva 904,2016,1,1·F·D
Bideona,2020,1,1·F·D
Macan Clasico,2021,1,1·F·A
Macan,2020,1,1·F·A
La Emperatriz Finca La Emperatriz,2020,1,1·F·A
Bideona,2020,1,1·F·A
Suzanne Bodegas Bhilar,2020,1,1·F·A
Corimbo I Reserva,2018,1,1·G·D
Corimbo I Reserva,2022,1,1·G·D
Bosque de Matasnos Reserva,2022,1,1·G·D
Hacienda del Marques Reserva,2020,1,1·G·D
Abadia Retuerta Seleccion Especial,2020,1,1·G·D
Unico Vega Sicilia,2015,1,1·G·A
Valbuena 5,2020,1,1·G·A
La Rioja Alta Gran Reserva 904,2015,1,1·G·A
Abadia Retuerta Seleccion Especial,2021,1,1·G·A
Hacienda del Marques Reserva,2020,1,1·G·A
Bosque de Matasnos Reserva,2019,1,1·G·A
Vina Ardanza Reserva,2019,1,1·H·D
La Emperatriz Finca La Emperatriz,2019,1,1·H·D
Marques de Murrieta Reserva,2021,1,1·H·D
Bodegas Lan Reserva,2021,1,1·H·D
Corimbo,2022,1,1·H·D
Corimbo I Reserva,2018,1,1·H·A
Corimbo I Reserva,2022,1,1·H·A
Bosque de Matasnos Reserva,2022,1,1·H·A
Roda Reserva,2021,1,1·H·A
Vina Ardanza Reserva,2019,1,1·I·D
La Emperatriz Finca La Emperatriz,2019,1,1·I·D
Marques de Murrieta Reserva,2021,1,1·I·D
Bodegas Lan Reserva,2021,1,1·I·D
Corimbo,2022,1,1·I·D
Pintia,2017,1,1·I·A
Malleolus Emilio Moro,2021,1,1·I·A
Malleolus de Valderramiro,2021,1,1·I·A
Malleolus de Sanchomartin,2021,1,1·I·A
Lacima Dominio do Bibei,2020,1,1·BASE
Sangarida Pico Tuerto,2022,1,1·BASE
Bosque de Matasnos,2022,1,1·BASE
Ata Rangi Pinot Noir,2021,1,1·BASE
San Roman,2022,1,1·BASE
Shannon Vineyards Mount Bullet,2020,1,1·BASE
