Robert Weil Kiedrich Spätlese 19-|2019|Hesse|Riesling|105€|Nariz: pêssego branco, limão, mel, mineral salino. Boca: doce elegante, acidez vibrante, final longo e puro. Spätlese clássico e refinado. Beba agora-2035. Foie gras ou queijos azuis.|WA: 94 | JS: 93 | Peñín: 93
Basserman Jordan Pfalz Forster 17-|2017|Renania-Palatinado|Riesling|50€|Nariz: maçã madura, limão, ervas secas. Boca: seco mineral, acidez alta, final tenso. Bom valor Pfalz. Beba agora-2030. Peixe grelhado ou saladas.|WA: 91 | Peñín: 90
Basserman Jordan Pfalz Ziegler 17-|2017|Renania-Palatinado|Riesling|45€|Nariz: limão, maçã verde, pedra molhada. Boca: seco puro, acidez viva. Ziegler clássico. Beba agora-2028. Ostras ou sushi.|WA: 90 | Peñín: 89
Battenfeld Spanier Eisquell 24-|2024|Renania-Palatinado|Riesling|33€|Nariz: limão, maçã verde, mineral calcário. Boca: seco tenso, acidez explosiva. Jovem e vibrante. Beba agora-2032. Aperitivo ou mariscos.|WA: N/A | Peñín: 91
Battenfeld Spanier Molsheim 20-|2020|Renania-Palatinado|Riesling|54€|Nariz: pêssego, limão, ervas. Boca: seco cremoso, mineral profundo. Excelente equilíbrio. Beba agora-2035. Peixe ou aves.|WA: 93 | Peñín: 92
Christmann Pfalz Konigsbach 16-|2016|Renania-Palatinado|Riesling|42€|Nariz: maçã madura, mel, mineral. Boca: seco denso, acidez viva. Maduro delicioso. Beba agora-2030. Queijos ou pato.|WA: 92 | Peñín: 91
Donnhoff Nahe Kahlenberg 18-|2018|Renania-Palatinado|Riesling|61€|Nariz: limão, pêssego, ervas finas, mineral. Boca: seco puro, acidez precisa, final longo. Ícone Nahe. Beba agora-2035. Ostras ou peixe.|WA: 93 | JS: 92
Egon Müller Scharz. Kabinett 22-|2022|Renania-Palatinado|Riesling|320€|Nariz: pêssego branco, limão, flor de laranjeira, mineral. Boca: doce elegante, acidez vibrante, final infinito. Kabinett lendário. Beba agora-2045. Foie ou queijos.|WA: 95 | JS: 96
Grans Fassian Laurentiuslay 14-|2014|Renania-Palatinado|Riesling|85€|Nariz: mel, maçã madura, mineral. Boca: doce cremoso, acidez viva. Maduro top. Beba agora-2035. Queijos azuis.|WA: 92 | Peñín: 91
Heymann-Löwenstein Schieferterrassen 19-|2019|Renania-Palatinado|Riesling|68€|Nariz: limão, ervas, xisto molhado. Boca: seco mineral, acidez alta. Terroir puro. Beba agora-2032. Peixe ou saladas.|WA: 93 | Peñín: 92
Kuhling Gillot Hipping 20-|2020|Renania-Palatinado|Riesling|144€|Nariz: pêssego, limão, mineral. Boca: seco denso, acidez vibrante. Hipping top. Beba agora-2040. Frutos do mar.|WA: 94 | JS: 93
Kühling Gillot Oppenheim 20-|2020|Renania-Palatinado|Riesling|54€|Nariz: maçã verde, flores, mineral. Boca: seco tenso. Bom valor. Beba agora-2030. Aperitivo.|WA: 91 | Peñín: 90
Matthias Knebel Rotten GG 22-|2022|Renania-Palatinado|Riesling|114€|Nariz: limão, pêssego, xisto. Boca: seco puro, acidez explosiva. GG top. Beba agora-2035. Ostras.|WA: 94 | Peñín: 93
Odinstal Muschelkalk 22-|2022|Renania-Palatinado|Riesling|118€|Nariz: limão, maçã, calcário. Boca: seco mineral, acidez viva. Muschelkalk elegante. Beba agora-2035. Peixe.|WA: 93 | Peñín: 92
Peter Jacob Khun Rheingau Quarzit 20-|2020|Renania-Palatinado|Riesling|52€|Nariz: pêssego, limão, quartzo. Boca: seco tenso. Quarzit puro. Beba agora-2032. Aperitivo.|WA: 91 | Peñín: 90
